applicationNumber,animalclass,status,labelType,proprietaryName,fileName,bytes,ingredients,proprietary,bblabelId,indications
NADA 038-439,Pacific Salmon (not over 30 grams of body weight),VFD,B,"Terramycin® 100 for Fish,Terramycin® 200 for Fish",UCM532240.pdf,,Oxytetracycline Dihydrate,,456,"<p> <font size=""1""></font>For Pacific Salmon (not over 30 grams of body weight) For marking of skeletal tissue. <font face=""Times New Roman,Times New Roman"" size=""1""><font face=""Times New Roman,Times New Roman"" size=""1""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""1""><i></i></font><i></i></p>"
NADA 038-439,Pacific Salmon (not over 30 grams of body weight),VFD,C,"Terramycin® 100 for Fish,Terramycin® 200 for Fish",UCM532241.pdf,,Oxytetracycline Dihydrate,,455,"<p> <font size=""1""></font>For Pacific Salmon (not over 30 grams of body weight) For marking of skeletal tissue. <font face=""Times New Roman,Times New Roman"" size=""1""><font face=""Times New Roman,Times New Roman"" size=""1""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""1""><i></i></font><i></i></p>"
NADA 008-804,Lobsters,VFD,B,"TM-100® ,TM-100®D ,TM-50® ,TM-50® D ",UCM321112.pdf,,Oxytetracycline Hydrochloride,,189,"<p> <font size=""3""></font>For control of gaffkemia caused by <em>Aerococcus viridans</em>. <font face=""Times New Roman,Times New Roman"" size=""3""><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font><i></i></p>"
NADA 008-804,Lobsters,VFD,C,"TM-100® ,TM-100®D ,TM-50® ,TM-50® D ",UCM321114.pdf,,Oxytetracycline Hydrochloride,,190,"<p> <font size=""3""></font>For control of gaffkemia caused by <em>Aerococcus viridans</em>. <font face=""Times New Roman,Times New Roman"" size=""3""><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font></font><font face=""Times New Roman,Times New Roman"" size=""3""><i></i></font><i></i></p>"
NADA 125-933,Catfish,VFD,C,Romet®-30,UCM533770.pdf,,"Ormetoprim,Sulfadimethoxine",,1597,"<p> <font size=""3""></font>For the control of enteric septicemia of catfish caused by<em> Edwardsiella ictaluri </em>strains susceptible to the sulfadimethoxine and ormetoprim combination. <font size=""3""></font></p>"
NADA 125-933,Catfish and freshwater-reared salmonids,VFD,B,Romet®-30,Romet Type B Blue Bird Combined VFD.pdf,,"Ormetoprim,Sulfadimethoxine",,1598,"<p> <font size=""3""></font>For the control of enteric septicemia of catfish caused by <em>Edwardsiella ictaluri </em>strains susceptible to the sulfadimethoxine and ormetoprim combination. </p><p>For the control of furunculosis in salmonids (trout and salmon) caused by <em>Aeromonas salmonicida </em>strains susceptible to the sulfadimethoxine and ormetoprim combination. <font size=""3""></font></p>"
NADA 125-933,Salmonids,VFD,C,Romet®-30,Romet Type C Blue Bird Salmonids VFD.pdf,,"Ormetoprim,Sulfadimethoxine",,1596,"<p> <font size=""3""></font>For the control of furunculosis in salmonids (trout and salmon) caused by <em>Aeromonas salmonicida</em> strains susceptible to the sulfadimethoxine and ormetoprim combination. <font size=""3""></font></p>"
NADA 012-350,Broiler chickens,OTC,C,"Amprol® 25% Type A Medicated Article,Corid® 25% Type A Medicated Article",UCM493148.pdf,,Amprolium,,2382,"<p><font size=""3""></font></p><p>For the prevention of coccidiosis caused by <em>E. tenella</em> at the level of 72.6 - 113.5 g/ton (0.008 - 0.0125%)<br/></p>"
NADA 012-350,Broiler chickens,OTC,C,"Amprol® 25% Type A Medicated Article,Corid® 25% Type A Medicated Article",UCM493151.pdf,,Amprolium,,2373,"<p><font size=""3""></font></p><p>For the prevention of coccidlosis where immunity is not desired at the level of 113.5-227 q/ton (0.0125% - 0.025%) </p>"
NADA 012-350,Chickens,OTC,C,"Amprol® 25% Type A Medicated Article,Corid® 25% Type A Medicated Article",UCM493157.pdf,,Amprolium,,2358,"<p><font size=""2""></font></p><p>For the development of active immunity to coccidiosis. </p>"
NADA 012-350,Chickens,OTC,C,"Amprol® 25% Type A Medicated Article,Corid® 25% Type A Medicated Article",UCM493159.pdf,,Amprolium,,2352,"<p><font size=""3""></font></p><p>For the prevention of coccidiosis where immunity to coccidiosis is not desired. </p>"
NADA 012-350,Laying chickens,OTC,C,"Amprol® 25% Type A Medicated Article,Corid® 25% Type A Medicated Article",UCM493154.pdf,,Amprolium,,2365,"<p><font size=""3""></font></p><p>For the prevention and treatment of moderate outbreaks of coccidiosis in laying chickens at the level of 113.5 g/ton (0.0125%). </p><p>For the treatment of severe outbreaks of coccidiosis in laying chickens at the level of 227 g/ton (0.025%). </p>"
NADA 141-439,Broiler Chickens,VFD,C,Inteprity™,N141439 Inteprity Type C Blue Bird.pdf,,Avilamycin,,3223,<p>For the prevention of mortality caused by necrotic enteritis associated with <i>Clostridium perfringens</i> in broiler chickens.<br/></p>
ANADA 200-223,"Growing Broiler Chickens, Growing Turkeys, Growing Pheasants",OTC,C,Albac® 50 Type A Medicated Article,UCM189894.pdf,,Bacitracin Zinc,,2409,"<p>For increased rate of weight gain and improved feed efficiency in growing broiler chickens, growing turkeys and growing pheasants.<br/></p>"
ANADA 200-223,Laying Chickens,OTC,C,Albac® 50 Type A Medicated Article,UCM189893.pdf,,Bacitracin Zinc,,2404,<p>For increased egg production and improved feed efficiency in laying chickens.<br/></p>
NADA 046-592,Broiler and replacement chickens,OTC,C,"BMD 30 Granular A,BMD 50 Granular A,BMD® 30,BMD® 50,BMD® 60",UCM314887.pdf,,Bacitracin methylenedisalicylate,,3034,"<p> <font size=""2""></font>As an aid in prevention of necrotic enteritis caused or complicated by <em>Clostridium spp</em>. or other organisms susceptible to bacitracin methylene disalicylate in broiler and replacement chickens.<font size=""2""> </font></p>"
NADA 046-592,Broiler and replacement chickens,OTC,C,"BMD 30 Granular A,BMD 50 Granular A,BMD® 30,BMD® 50,BMD® 60",UCM315049.pdf,,Bacitracin methylenedisalicylate,,2995,"<p> <font size=""2""></font>As an aid in control of necrotic enteritis caused or complicated by <em>Clostridium spp</em>. or other organisms susceptible to bacitracin methylene disalicylate in broiler and replacement chickens.<font size=""2""> </font></p>"
NADA 046-592,"Broiler and replacement chickens, growing turkeys, and pheasants",OTC,B,"BMD 30 Granular A,BMD 50 Granular A,BMD® 30,BMD® 50,BMD® 60",UCM439209.pdf,,Bacitracin methylenedisalicylate,,3083,"<p> <font size=""1""></font>For increased rate of weight gain and improved feed efficiency in broiler and replacement chickens, growing turkeys, and pheasants. <font size=""1""></font></p>"
NADA 046-592,"Broiler and replacement chickens, growing turkeys, and pheasants",OTC,C,"BMD 30 Granular A,BMD 50 Granular A,BMD® 30,BMD® 50,BMD® 60",UCM439251.pdf,,Bacitracin methylenedisalicylate,,3069,"<p> <font size=""2""></font>For increased rate of weight gain and improved feed efficiency in broiler and replacement chickens, growing turkeys, and pheasants. <font size=""2""></font></p>"
NADA 046-592,Laying hens,OTC,C,"BMD 30 Granular A,BMD 50 Granular A,BMD® 30,BMD® 50,BMD® 60",UCM439749.pdf,,Bacitracin methylenedisalicylate,,3024,"<p> <font size=""2""></font>For increased egg production and improved feed efficiency during the first seven months of production. <font size=""2""></font></p>"
NADA 141-137,Broiler and Replacement Chickens,OTC,B,Pennitracin MD 50G®,BlueBird_Pennitracin_Type_B_Chickens_NE_March_2022.pdf,,Bacitracin methylenedisalicylate,,10998,<p>For the prevention of mortality caused by necrotic enteritis associated with Clostridium perfringens in broiler and replacement chickens.<br/></p>
NADA 141-137,Broiler and Replacement Chickens,OTC,C,Pennitracin MD 50G®,BlueBird_Pennitracin_Type_C_Chickens_NE_January_2022.pdf,,Bacitracin methylenedisalicylate,,10999,<p>For the prevention of mortality caused by necrotic enteritis associated with Clostridium perfringens in broiler and replacement chickens.<br/></p>
NADA 141-137,"Broiler and replacement chickens, growing turkeys or growing pheasants.",OTC,C,Pennitracin MD 50G®,UCM481461.pdf,,Bacitracin methylenedisalicylate,,2534,"<p> <font size=""3""></font>For increased rate of weight gain and improved feed efficiency in broiler and replacement chickens, growing turkeys or growing pheasants. <font size=""3""></font></p>"
NADA 141-137,"Broiler and replacement chickens, growing turkeys, and growing pheasants.",OTC,B,Pennitracin MD 50G®,UCM481459.pdf,,Bacitracin methylenedisalicylate,,2541,"<p> <font size=""2""></font>For increased rate of weight gain and improved feed efficiency in broiler and replacement chickens, growing turkeys, and growing pheasants. <font size=""2""></font></p>"
NADA 044-759,Broilers,OTC,B,Flavomycin® 4,Type B Label - Broilers (1).pdf,,Bambermycins,,10864,<p>For increased rate of weight gain and improved feed efficiency in broiler chickens.<br/></p>
NADA 044-759,Broilers,OTC,C,Flavomycin® 4,Type C Label - Broilers.pdf,,Bambermycins,,10869,<p>For increased rate of weight gain and improved feed efficiency in broiler chickens.<br/></p>
NADA 048-761,Chickens,VFD,B,"Aureomycin® 100 Granular,Aureomycin® 50 Granular,Aureomycin® 50 Granular A,Aureomycin® 70 Granular,Aureomycin® 80 Granular,Aureomycin® 90 Granular,Aureomycin® 90 Meal",UCM367158.pdf,,Chlortetracycline,,4564,"<p> <font size=""3""></font>For control of chronic respiratory disease (CRD) and air sac infection caused by <em>Mycoplasma gallisepticum </em>and Escherichia coli susceptible to chlortetracycline in chickens. <font size=""3""></font></p>"
NADA 048-761,Chickens,VFD,B,"Aureomycin® 100 Granular,Aureomycin® 50 Granular,Aureomycin® 50 Granular A,Aureomycin® 70 Granular,Aureomycin® 80 Granular,Aureomycin® 90 Granular,Aureomycin® 90 Meal",UCM367159.pdf,,Chlortetracycline,,4637,"<p> <font size=""3""></font>For reduction of mortality due to <em>Escherichia coli</em> infections susceptible to chlortetracycline in chickens. <font size=""3""></font></p>"
NADA 048-761,Chickens,VFD,B,"Aureomycin® 100 Granular,Aureomycin® 50 Granular,Aureomycin® 50 Granular A,Aureomycin® 70 Granular,Aureomycin® 80 Granular,Aureomycin® 90 Granular,Aureomycin® 90 Meal",UCM367162.pdf,,Chlortetracycline,,4600,"<p> <font size=""3""></font>For control of infectious synovitis caused by <em>Mycoplasma synoviae </em>susceptible to chlortetracycline in chickens. <font size=""3""></font></p>"
NADA 048-761,Chickens,VFD,C,"Aureomycin® 100 Granular,Aureomycin® 50 Granular,Aureomycin® 50 Granular A,Aureomycin® 70 Granular,Aureomycin® 80 Granular,Aureomycin® 90 Granular,Aureomycin® 90 Meal",UCM367164.pdf,,Chlortetracycline,,4430,"<p> <font size=""3""></font>For control of chronic respiratory disease (CRD) and air sac infection caused by <em>Mycoplasma gallisepticum </em>and <em>Escherichia coli </em>susceptible to chlortetracycline in chickens. <font size=""3""></font></p>"
NADA 048-761,Chickens,VFD,C,"Aureomycin® 100 Granular,Aureomycin® 50 Granular,Aureomycin® 50 Granular A,Aureomycin® 70 Granular,Aureomycin® 80 Granular,Aureomycin® 90 Granular,Aureomycin® 90 Meal",UCM367165.pdf,,Chlortetracycline,,4495,"<p> <font size=""3""></font>For reduction of mortality due to <em>Escherichia coli</em> infections susceptible to chlortetracycline in chickens. <font size=""3""></font></p>"
NADA 048-761,Chickens,VFD,C,"Aureomycin® 100 Granular,Aureomycin® 50 Granular,Aureomycin® 50 Granular A,Aureomycin® 70 Granular,Aureomycin® 80 Granular,Aureomycin® 90 Granular,Aureomycin® 90 Meal",UCM367167.pdf,,Chlortetracycline,,4462,"<p> <font size=""3""></font>For control of infectious synovitis caused by <em>Mycoplasma synoviae </em>susceptible to chlortetracycline in chickens. <font size=""3""></font></p>"
NADA 138-935,Chicken,VFD,C,"Pennchlor 50 G®,Pennchlor® 100 G™,Pennchlor® 100 Hi-Flo™,Pennchlor® 50™,Pennchlor® 90 G™",UCM532441.pdf,,Chlortetracycline,,6849,"<p> <font size=""3""></font>For the control of infectious synovitis caused by<em> Mycoplasma synoviae </em>susceptible to chlortetracycline<font size=""3"">. </font></p>"
NADA 138-935,Chickens,VFD,B,"Pennchlor 50 G®,Pennchlor® 100 G™,Pennchlor® 100 Hi-Flo™,Pennchlor® 50™,Pennchlor® 90 G™",UCM532440.pdf,,Chlortetracycline,,999,"<p>For the control of infectious synovitis caused by <em>Mycoplasma synoviae</em>, susceptible to chlortetracycline.</p><p>For the control of chronic respiratory disease (CRD) and air sac infection caused by Mycoplasma gallisepticum and Escherichia coli susceptible to chlortetracycline. </p><p>For the reduction of mortality due to <em>Escherichia coli </em>infection susceptible to chlortetracycline.</p>"
NADA 138-935,Chickens,VFD,C,"Pennchlor 50 G®,Pennchlor® 100 G™,Pennchlor® 100 Hi-Flo™,Pennchlor® 50™,Pennchlor® 90 G™",UCM532442.pdf,,Chlortetracycline,,6788,"<p> <font size=""3""></font>For the control of chronic respiratory disease (CRD) and air sac infection caused by <em>Mycoplasma gallisepticum </em>and <em>Escherichia coli</em> susceptible to chlortetracycline. <font size=""3""></font></p>"
NADA 138-935,Chickens,VFD,C,"Pennchlor 50 G®,Pennchlor® 100 G™,Pennchlor® 100 Hi-Flo™,Pennchlor® 50™,Pennchlor® 90 G™",UCM532443.pdf,,Chlortetracycline,,6768,"<p> <font size=""3""></font>For the reduction of mortality due to <em>Escherichia coli </em>infection susceptible to chlortetracycline. <font size=""3""></font></p>"
ANADA 200-510,Chicken,VFD,B,"Deracin™ 100 Meal,Deracin™ 50 Meal,Deracin™ 90 Meal",UCM532575.pdf,,Chlortetracycline,,5403,"<p> <font size=""2""></font>For control of chronic respiratory disease (CRD) and air sac infection caused by <em>Mycoplasma gallisepticum </em>and<em> Escherichia coli</em> susceptible to chlortetracycline in chickens<font size=""2"">. </font></p>"
ANADA 200-510,Chicken,VFD,B,"Deracin™ 100 Meal,Deracin™ 50 Meal,Deracin™ 90 Meal",UCM532577.pdf,,Chlortetracycline,,5376,"<p> <font size=""2""></font>For reduction of mortality due to <em>Escherichia coli </em>infections susceptible to chlortetracycline in chickens. <font size=""2""></font></p>"
ANADA 200-510,Chicken,VFD,B,"Deracin™ 100 Meal,Deracin™ 50 Meal,Deracin™ 90 Meal",UCM532578.pdf,,Chlortetracycline,,5337,"<p> <font size=""2""></font>For control of infectious synovitis caused by <em>Mycoplasma synoviae </em>susceptible to chlortetracycline in chickens. <font size=""2""></font></p>"
ANADA 200-510,Chicken,VFD,C,"Deracin™ 100 Meal,Deracin™ 50 Meal,Deracin™ 90 Meal",UCM532579.pdf,,Chlortetracycline,,5299,"<p> <font size=""2""></font>For control of chronic respiratory disease (CRD) and air sac infection caused by <em>Mycoplasma gallisepticum </em>and <em>Escherichia coli</em> susceptible to chlortetracycline in chickens. <font size=""2""></font></p>"
ANADA 200-510,Chicken,VFD,C,"Deracin™ 100 Meal,Deracin™ 50 Meal,Deracin™ 90 Meal",UCM532582.pdf,,Chlortetracycline,,5223,"<p> <font size=""2""></font>For reduction of mortality due to <em>Escherichia coli</em> infections susceptible to chlortetracycline in chickens. <font size=""2""></font></p>"
ANADA 200-510,Chicken,VFD,C,"Deracin™ 100 Meal,Deracin™ 50 Meal,Deracin™ 90 Meal",UCM532586.pdf,,Chlortetracycline,,5077,"<p> <font size=""2""></font>For control of infectious synovitis caused by <em>Mycoplasma synoviae </em>susceptible to chlortetracycline in chickens. <font size=""2""></font></p>"
NADA 048-480,Broiler Chickens,VFD,B,"Chloratet™ 100,Chloratet™ 50,Chloratet™ 90",UCM532352.pdf,,Chlortetracycline Calcium Complex,,5632,<p>For control of infectious synovitis caused by <i>Mycoplasma synoviae </i>susceptible to chlortetracycline in chickens.<br/></p>
NADA 048-480,Broiler Chickens,VFD,C,"Chloratet™ 100,Chloratet™ 50,Chloratet™ 90",UCM532353.pdf,,Chlortetracycline Calcium Complex,,5666,<p>Control of infectious synovitis caused by <i>Mycoplasma synoviae </i>susceptible to chlortetracycline.<br/></p>
NADA 048-480,Broiler Chickens,VFD,B,"Chloratet™ 100,Chloratet™ 50,Chloratet™ 90",UCM532354.pdf,,Chlortetracycline Calcium Complex,,5721,<p>For control of chronic respiratory disease (CRD) and air sac infection caused by <i>Mycoplasma gallisepticum </i>and <i>Escherichia coli </i>susceptible to chlortetracycline in chickens.<br/></p>
NADA 048-480,Broiler Chickens,VFD,C,"Chloratet™ 100,Chloratet™ 50,Chloratet™ 90",UCM532355.pdf,,Chlortetracycline Calcium Complex,,5693,<p>Control of chronic respiratory disease (CRD) and air sac infection caused by <i>Mycoplasma gallisepticum </i>and <i>Escherichia coli </i>susceptible to chlortetracycline.<br/></p>
NADA 048-480,Broiler Chickens,VFD,B,"Chloratet™ 100,Chloratet™ 50,Chloratet™ 90",UCM532357.pdf,,Chlortetracycline Calcium Complex,,5750,<p>For reduction of mortality due to <i>Escherichia coli </i>infections susceptible to chlortetracycline in chickens<br/></p>
NADA 048-480,Broiler Chickens,VFD,C,"Chloratet™ 100,Chloratet™ 50,Chloratet™ 90",UCM532358.pdf,,Chlortetracycline Calcium Complex,,5780,<p>Reduction of mortality due to <i>Escherichia coli </i>infections susceptible to chlortetracycline.<br/></p>
NADA 049-287,Chickens,VFD,C,"PfiChlor® 100,PfiChlor® 50,PfiChlor® 70",Chickens CRD.pdf,,Chlortetracycline Calcium Complex,,10451,<p>For control of chronic respiratory disease (CRD) and air sac infection caused by <i>Mycoplasma gallisepticum</i>Â and <i>Escherichia coli</i>Â susceptible to chlortetracycline in chickens.</p>
NADA 049-287,Chickens,VFD,C,"PfiChlor® 100,PfiChlor® 50,PfiChlor® 70",Chickens Ecoli.pdf,,Chlortetracycline Calcium Complex,,10452,<p>For reduction of mortality due to <i>Escherichia coli </i>infections susceptible to chlortetracycline in chickens.Â </p>
NADA 049-287,Chickens,VFD,C,"PfiChlor® 100,PfiChlor® 50,PfiChlor® 70",Chickens SYN.pdf,,Chlortetracycline Calcium Complex,,10453,<p>For control of infectious synovitis caused by <i>Mycoplasma synoviae </i>susceptible to chlortetracycline in chickens.Â </p>
NADA 092-286,Chicken,VFD,C,"CLTC® 10,CLTC® 20,CLTC® 30,CLTC® 50,CLTC® 70",UCM532711.pdf,,Chlortetracycline Calcium Complex,,3996,"<p> <font size=""3""></font>For chickens for control of infectious synovitis caused by <em>Mycoplasma synoviae </em>susceptible to chlortetracycline. </p><p><br/></p><p><font size=""3""><br/></font></p>"
NADA 092-286,Chicken,VFD,C,"CLTC® 10,CLTC® 20,CLTC® 30,CLTC® 50,CLTC® 70",UCM532713.pdf,,Chlortetracycline Calcium Complex,,3980,"<p> <font size=""3""></font>For chickens for control of chronic respiratory disease (CRD) and air sac infection caused by <em>Mycoplasma gallisepticum </em>and <em>Escherichia coli </em>susceptible to chlortetracycline. <font size=""3""></font></p>"
NADA 092-286,Chicken,VFD,C,"CLTC® 10,CLTC® 20,CLTC® 30,CLTC® 50,CLTC® 70",UCM532715.pdf,,Chlortetracycline Calcium Complex,,3965,"<p> <font size=""3""></font>For chickens for reduction of mortality due <em>E. coli </em>infections susceptible to chlortetracycline. <font size=""3""></font></p>"
NADA 046-699,Chicken,VFD,C,"ChlorMax® 100,ChlorMax® 50,ChlorMax® 65,ChlorMax® 70,Micro CTC®",UCM532701.pdf,,Chlortetracycline Hydrochloride,,4194,"<p> <font size=""3""></font>For reduction of mortality due to <em>Escherichia coli </em>infections susceptible to chlortetracycline. <font size=""3""></font></p>"
NADA 046-699,Chicken,VFD,C,"ChlorMax® 100,ChlorMax® 50,ChlorMax® 65,ChlorMax® 70,Micro CTC®",UCM532702.pdf,,Chlortetracycline Hydrochloride,,4179,"<p> <font size=""3""></font>For control of infectious synovitis caused by <em>Mycoplasma synoviae </em>susceptible to chlortetracycline. <font size=""3""></font></p>"
NADA 046-699,Chicken,VFD,C,"ChlorMax® 100,ChlorMax® 50,ChlorMax® 65,ChlorMax® 70,Micro CTC®",UCM532704.pdf,,Chlortetracycline Hydrochloride,,4165,"<p> <font size=""3""></font>For control of chronic respiratory disease (CRD) and air sac infection caused by <em>Mycoplasma gallisepticum </em>and <em>Escherichia coli</em> susceptible to chlortetracycline. <font size=""3""></font></p>"
NADA 034-393,Broiler and Replacement Chickens,OTC,C,Coyden 25®,N034393 Clopidol (113.5) Type C Medicated Chicken Feed.pdf,,Clopidol,,7595,"<p>As an aid in the prevention of coccidiosis in broilers and replacements for caged layers caused by <em>E. tenella, E. necatrix, E. acervulina, E. maxima, E. brunette, E. mivati.</em><br/></p>"
NADA 034-393,Broiler and Replacement Chickens,OTC,C,Coyden 25®,N034393 Clopidol (227) Type C Medicated Chicken Feed.pdf,,Clopidol,,7597,"<p>As an aid in the prevention of coccidiosis in broilers and replacements for caged layers caused by <em>E. tenella, E. necatrix, E. acervulina, E. maxima, E. brunette, E. mivati.</em><br/></p>"
NADA 040-001,Layer Chickens,OTC,C,Meldane 2,N040001.pdf,,Coumaphos,,320,<p>For the control of Capillary Worm (<em>Capillaria obsignata</em>) and as an aid in the control of Common Roundworm ( <em>Ascaridia galli</em>) and Cecal Worm (<em>Heterakis gallinae</em>) in laying flocks. <br/></p>
NADA 040-001,Layer Chickens,OTC,C,Meldane 2,UCM316342.pdf,,Coumaphos,,1084,<p>For the control of capillary worm (Capillaria obsignata) and as an aid in the control of common roundworm (Ascaridia galli) and cecal worm (Heterakis gallinae) in laying flocks.<br/></p>
NADA 039-417,Broiler chickens,OTC,C,Deccox®,Type C Chickens.pdf,,Decoquinate,,10495,"<p>For the prevention of coccidiosis caused by <i>Eimeria tenella</i>, <i>E. necatrix</i>, <i>E. mivati</i>, <i>E. acervulina</i>, <i>E. maxima</i>, and <i>E. brunetti </i>in broiler chickens.<br/></p>"
NADA 140-951,Broiler Chickens,OTC,B,Clinacox™ 0.2%,N 140-951 Clin Type B BB Broiler 8Jun2020.pdf,,Diclazuril,,329,"<p> <font size=""3""></font></p><p> <font size=""3""></font>For the prevention of coccidiosis caused by <em>Eimeria tenella, E. necatrix, E. acervulina, E. brunetti, E. mitis (mivati)</em> and <em>E. maxima. </em><font size=""3""></font></p><p><font face=""Arial,Helvetica"" size=""3""><font face=""Arial,Helvetica"" size=""3""><i></i></font></font></p><p><font face=""Arial,Helvetica"" size=""3""><i></i></font></p><p><i></i></p><p></p>"
